"Source:","/home/joseph/projects/weather-station/radio/radio.sch"
"Date:","Wed 24 Nov 2021 07:50:49 PM EST"
"Tool:","Eeschema 5.1.12-84ad8e8a86~92~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","165"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","Status"
"","","C1","10u","Device:C_Small","","~","","","","","","","","",""
"","","C2","1p","Device:C_Small","","~","","","","","","","","",""
"","","C3","1p","Device:C_Small","","~","","","","","","","","",""
"","","C4","510p","Device:C_Small","","~","","","","","","","","",""
"","","C5","1u","Device:C_Small","","~","","","","","","","","",""
"","","C6","470p","Device:C_Small","","~","","","","","","","","",""
"","","C7","2.5n","Device:C","","~","","","","","","","","",""
"","","C8","470p","Device:C_Small","","~","","","","","","","","",""
"","","C9","12p","Device:C_Small","","~","","","","","","","","",""
"","","C10","56p","Device:C_Small","","~","","","","","","","","",""
"","","C11","5.6p","Device:C_Small","","~","","","","","","","","",""
"","","C12","10u","Device:C_Small","","~","","","","","","","","",""
"","","C13","10u","Device:C_Small","","~","","","","","","","","",""
"","","C14","4.7u","Device:C_Small","","~","","","","","","","","",""
"","","C15","470p","Device:C_Small","","~","","","","","","","","",""
"","","C16","10n","Device:C","","~","","","","","","","","",""
"","","C17","10n","Device:C","","~","","","","","","","","",""
"","","C18","470p","Device:C_Small","","~","","","","","","","","",""
"","","C19","1u","Device:C_Small","","~","","","","","","","","",""
"","","C20","1u","Device:C_Small","","~","","","","","","","","",""
"","","C21","470p","Device:C_Small","","~","","","","","","","","",""
"","","C22","2.5n","Device:C","","~","","","","","","","","",""
"","","C23","1p","Device:C_Small","","~","","","","","","","","",""
"","","C24","1p","Device:C_Small","","~","","","","","","","","",""
"","","C25","510p","Device:C_Small","","~","","","","","","","","",""
"","","C26","510p","Device:C_Small","","~","","","","","","","","",""
"","","C27","1u","Device:C_Small","","~","","","","","","","","",""
"","","C28","2.5n","Device:C","","~","","","","","","","","",""
"","","C29","C_Small","Device:C_Small","","~","","","","","","","","",""
"","","C30","1n","Device:C_Small","","~","","","","","","","","",""
"","","C31","470pF","Device:C_Small","","~","","","","","","","","",""
"","","C32","470p","Device:C_Small","","~","","","","","","","","",""
"","","C33","3.3pF","Device:C_Small","","~","","","","","","","","",""
"","","C34","12p","Device:C_Small","","~","","","","","","","","",""
"","","C35","56p","Device:C_Small","","~","","","","","","","","",""
"","","C36","5.6p","Device:C_Small","","~","","","","","","","","",""
"","","C37","1nF","Device:C_Small","","~","","","","","","","","",""
"","","C38","10u","Device:C_Small","","~","","","","","","","","",""
"","","C39","10u","Device:C_Small","","~","","","","","","","","",""
"","","C40","10u","Device:C_Small","","~","","","","","","","","",""
"","","C41","0.1u","Device:C_Small","","~","","","","","","","","",""
"","","C42","0.1u","Device:C_Small","","~","","","","","","","","",""
"","","C43","100p","Device:C","","~","","","","","","","","",""
"","","C44","0.1u","Device:C_Small","","~","","","","","","","","",""
"","","C45","0.1u","Device:C_Small","","~","","","","","","","","",""
"","","C46","1p","Device:C_Small","","~","","","","","","","","",""
"","","C47","5.6p","Device:C_Small","","~","","","","","","","","",""
"","","C48","4.7p","Device:C_Small","","~","","","","","","","","",""
"","","C49","1.5n","Device:C_Small","","~","","","","","","","","",""
"","","C50","2n","Device:C_Small","","~","","","","","","","","",""
"","","C51","2n","Device:C_Small","","~","","","","","","","","",""
"","","C52","2n","Device:C_Small","","~","","","","","","","","",""
"","","C53","22p","Device:C_Small","","~","","","","","","","","",""
"","","C54","33p","Device:C_Small","","~","","","","","","","","",""
"","","C55","22p","Device:C_Small","","~","","","","","","","","",""
"","","C56","22p","Device:C_Small","","~","","","","","","","","",""
"","","C57","2.5n","Device:C","","~","","","","","","","","",""
"","","C58","2.5n","Device:C","","~","","","","","","","","",""
"","","C59","2.5n","Device:C","","~","","","","","","","","",""
"","","C60","36p","Device:C_Small","","~","","","","","","","","",""
"","","C61","47p","Device:C_Small","","~","","","","","","","","",""
"","","C62","13p","Device:C_Small","","~","","","","","","","","",""
"","","C63","2.5n","Device:C","","~","","","","","","","","",""
"","","C64","2.5n","Device:C_Small","","~","","","","","","","","",""
"","","C65","100p","Device:C_Small","","~","","","","","","","","",""
"","","C66","10u","Device:C_Small","","~","","","","","","","","",""
"","","C67","0.1uF","Device:C_Small","","~","","","","","","","","",""
"","","C68","0.1uF","Device:C_Small","","~","","","","","","","","",""
